Contract,Question,Answer,Source Page No,Evaluation Azure,Result Azure,Evaluation Chroma,Result Chroma,Question Category
contract sample-1.pdf,What is the name of the aircraft being leased?,Boeing Voyager -737,35,Yes," The name of the aircraft being leased is a Boeing Voyager -737, bearing Manufacturer's Serial Number 56789.",Yes," The aircraft being leased is a Boeing Voyager -737 with Manufacturer's Serial Number 56789, equipped with two Pratt & Whitney PW4000 engines.",Specific/Factual
contract sample-1.pdf,What is the Maximum Landing Weight?," 69,000 KGS",31,Yes," The Maximum Landing Weight (MLW) for the Boeing 737 MAX 8 aircraft, as specified in Exhibit A of the agreement, is 69,000 KGS.",No," flight</td><td>$500/hour</td></tr><tr><td>Airport Fees</td><td>Landing, parking, handling</td><td>Per use</td><td>$2,000 per landing</td></tr><tr><td>Crew Costs</td><td>Pilot and cabin crew salaries</td><td>Monthly</td><td>$100,000</td></tr></table> I'm unable to determine the Maximum Landing Weight from the provided information.",Numerical
contract sample-1.pdf,What is Maximum Zero Fuel Weight?,"65,000 KGS",31,Yes," Maximum Zero Fuel Weight (MZFW) is a weight measurement for an aircraft that refers to the weight of the aircraft with no fuel on board. In the context of the provided lease agreement, the MZFW for the Boeing 737 MAX 8 with serial number 12345 is 65,000 KGS.",No," Maximum Zero Fuel Weight (MZFW) refers to the weight of an aircraft when all its fuel is expended. It is an important consideration in aircraft leasing and financing as it affects the aircraft's value and operating costs. MZFW is typically calculated by subtracting the weight of the fuel from the Maximum Takeoff Weight (MTOW) of the aircraft. MTOW is a specified weight limit for an aircraft at the start of a flight, which includes the weight of the aircraft, fuel, passengers, cargo, and other equipment.

In the context of the tables provided, the costs listed are not directly related to MZFW. However, fuel costs are an essential component of calculating MZFW as it is the weight of the fuel that is being considered.",Numerical
contract sample-1.pdf,When is the delivery date and it's location? ,"The Delivery Date is July 19, 2024 and delivery location is  Shannon Airport, Ireland.",40,Yes," The delivery date for the aircraft is July 19, 2024, at Shannon Airport, Ireland. The aircraft shall be delivered in an airworthy condition, fully equipped with all necessary parts, components, and avionics, and in compliance with all applicable airworthiness directives and maintenance requirements. The Lessee has the right to conduct a pre-delivery inspection of the aircraft, including a review of all records and a physical inspection by its technical team or a third-party expert, within 5 business days prior to the scheduled Delivery Date. If the aircraft does not meet the agreed delivery conditions, the Lessee may refuse acceptance until necessary repairs or adjustments are made. The aircraft shall be delivered with engines and major components that are in compliance with the original equipment manufacturer's specifications and operational limits, including engines with less than 2,000 hours TSO and landing gear with less than 1,000 cycles. The aircraft shall be delivered with sufficient fuel and hydraulic fluids for the delivery flight.",No," Based on the information provided, the delivery conditions and certificate of delivery technical acceptance (Exhibit E and H1) should provide the delivery date and location. Please refer to these exhibits for the specific details.",Specific/Factual
contract sample-1.pdf,What is the cause of the delivery delay?,"If delivery of the Aircraft is delayed due to reasons attributable to the Lessor (e.g., mechanical issues, missing documents), the Lessee shall be entitled to remedies, including: A daily penalty of $5,000 for each day of delay beyond the agreed Delivery Date. Rent commencement deferral until the Aircraft is delivered in acceptable condition. Delays caused by events beyond the control of either party (e.g., natural disasters, governmental restrictions) shall not incur penalties.
",40,Yes," The cause of a delivery delay may be due to reasons attributable to the Lessor, such as mechanical issues or missing documents. If the Aircraft does not meet the agreed delivery conditions, the Lessee may refuse acceptance until necessary repairs or adjustments are made. Delays caused by events beyond the control of either party, known as force majeure, are also a possibility. The Lessee is entitled to remedies, including a daily penalty for each day of delay beyond the agreed Delivery Date and rent commencement deferral until the Aircraft is delivered in acceptable condition.",Yes," The cause of a delivery delay may be due to mechanical issues or missing documents attributable to the Lessor. If such an event occurs, the Lessee is entitled to penalties, including rent credits or an extension of the Lease Term. Delays caused by reasons beyond the control of both parties, known as Force Majeure events, are also possible. The Lessee has the right to inspect the Aircraft before acceptance, and if it does not meet the agreed delivery conditions, the Lessee may refuse acceptance until necessary repairs or adjustments are made. The Aircraft must be delivered with engines and major components that are in compliance with the original equipment manufacturer's specifications and within the operational limits specified in the agreement. Any component not meeting these standards must be replaced or overhauled by the Lessor before delivery. The Aircraft shall be delivered with sufficient fuel and hydraulic fluids necessary for the delivery flight. The Lessee has the option to conduct a test flight to ensure the Aircraft's performance and compliance with all technical requirements. If the Aircraft is not delivered in an airworthy condition, fully equipped with all necessary parts, components, and avionics, as required by regulatory authorities, the Lessee may refuse acceptance.",Specific/Factual
contract sample-1.pdf,list all the remedies can be exercised by Lessor when Lessee fails to cure?,"*Terminate the Agreement: The Lessor may terminate this Agreement by giving written 
notice to the Lessee, upon which the Lease shall immediately terminate. *Repossess the Aircraft: The Lessor may take possession of the Aircraft wherever located, with or without legal process, and for that purpose, may enter any premises where the Aircraft may be located. *Acceleration of Payments: The Lessor may declare all outstanding Rent and Additional Rent due for the remaining term of the Lease immediately payable by the Lessee. *Claim Damages: The Lessor may seek damages for any losses incurred due to the Lessee’s  default, including any costs related to repossessing, repairing, or re-leasing the Aircraft. *Set-Off Rights: The Lessor may exercise its right of set-off against any security deposits, maintenance reserves, or other amounts held by the Lessor to satisfy any obligations owed 
by the Lessee. *Legal Action: The Lessor may initiate legal proceedings to enforce its rights under this 
Agreement and recover any damages or unpaid amounts due.",29,No," The Lessor has several remedies available when the Lessee fails to cure a default. These remedies include terminating the agreement, repossessing the aircraft, accelerating payments, imposing late payment penalties, and seeking indemnification. The specific remedies available depend on the nature of the default.

For payment defaults, the Lessee has a 10-day cure period to pay the overdue amount and a late payment penalty of 2% per day for each day the payment remains unpaid. If the Lessee fails to cure the default within this period, the Lessor may terminate the agreement and exercise other remedies.

For non-payment defaults, the Lessee has a 30-day cure period to remedy the breach, provide written notice of the steps being taken to cure the breach, and fully remedy the breach. If the breach cannot be remedied within the 30-day period, the Lessee must demonstrate that it has commenced a cure and provide a reasonable timeline for completion, subject to the Lessor's approval.

For certain events, such as insolvency, bankruptcy, or liquidation, there is no cure period, and the Lessor may immediately terminate the agreement and repossess the aircraft.

The Lessor also has the right to indemnify and hold harmless the Lessee from any claims arising from the ownership of the aircraft, except for those arising from the Lessee's use or operation of the aircraft. The Lessee is obligated to maintain insurance coverage and indemnify and hold harmless the Lessor from any claims arising from the Lessee's use, possession, or operation of the aircraft, except for those caused by the Lessor's gross negligence or willful misconduct.

The Lessee shall not create, permit, or suffer any liens, charges, or encumbrances on the aircraft without the Lessor's prior written consent. The Lessor reserves the right to require the Lessee to pay any amounts necessary to release such liens within 30 days.

The Lessor retains full legal and beneficial title to the aircraft during the lease term.",No," The Lessor has several remedies available when the Lessee fails to cure a default. These remedies include terminating the agreement, repossessing the aircraft, accelerating payments, imposing late payment penalties, and seeking indemnification. The specific remedies available depend on the type of default.

For payment defaults, the Lessor may terminate the agreement, repossess the aircraft, accelerate payments, and impose late payment penalties. The Lessee also has a 10-day cure period to remedy the default, after which the Lessor may exercise its remedies.

For non-payment defaults, the Lessee has a 30-day cure period to remedy the breach. If the breach cannot be remedied within this period, the Lessee must demonstrate that it has commenced a cure and provide a reasonable timeline for completion, subject to the Lessor's approval.

For certain events, such as insolvency, bankruptcy, or liquidation, there is no cure period, and the Lessor may immediately terminate the agreement and repossess the aircraft.

The Lessor also has the right to indemnification from the Lessee for any losses, damages, or liabilities arising from the Lessee's use, possession, or operation of the aircraft, except for those caused by the Lessor's gross negligence or willful misconduct. The Lessor must indemnify the Lessee from any claims arising from the ownership of the aircraft.

The Lessee is not allowed to create any liens on the aircraft without the Lessor's prior written consent, except for liens resulting from routine maintenance or repairs, which must be promptly discharged. The Lessor reserves the right to require the Lessee to pay any amounts necessary to release such liens within 30 days.

The Lessor retains full legal and beneficial title to the aircraft during the lease term.",Descriptive
contract sample-1.pdf,Is the rent fixed or floating and what are the amounts?,"The basic rent is fixed, amount is $250,000 per month.",35,Yes," The basic rent is a fixed payment of $250,000 per month. Maintenance reserve payments are also a fixed amount, with $15,000 per engine per month for engine overhauls, $10,000 per month for airframe heavy maintenance, and $5,000 per month for landing gear overhauls, making a total of $35,000 per month. Sales tax on lease payments is 7% and is paid monthly, property tax is 2% of the aircraft value, which is $50,000,000, paid annually, and international fees vary by airport/country and are paid per use.",No," Based on the information provided, the lease agreement does not explicitly state whether the rent is fixed or floating. To determine this, you would need to review the specific terms and conditions outlined in Section 4 of the agreement. If the rent amount is stated as a fixed sum payable on a regular basis, then it is a fixed rent. If the rent amount varies based on market conditions or other factors, then it is a floating rent. Without further information, it is not possible to definitively answer this question.",Numerical
contract sample-1.pdf,what is the date of the agreement?," July 19, 2024",45,Yes," The Aircraft Lease Agreement was signed on July 19, 2024. The Certificate of Delivery Technical Acceptance was executed on July 19, 2024, and the delivery of the aircraft took place on the same day. Therefore, the agreement and delivery date are the same.",Yes," The agreement date is July 19, 2024.",Specific/Factual
contract sample-1.pdf,Explain MAINTENANCE OF AIRCRAFT  table?,"The Lessee shall follow the Aircraft’s maintenance schedule, Maintenance Type are Line Maintenance, Heavy Maintenance, Engine Overhaul , Avionics Check , Landing Gear Overhaul",14,Yes," This table outlines the conditions, required documentation, and notes for various components of an aircraft, including the airframe, engines, avionics, and interior and exterior parts. The airframe should have no major damage and routine wear, with the last 3 years of maintenance logs required. Engines should be at mid-life status with no major defects, and engine overhaul records are necessary. Avionics must be fully functional, with the latest software updates and calibration records required. The interior is acceptable with normal wear and tear, but the lessee is responsible for major damage, and cabin refurbishment records are required. The exterior should be repainted with no structural damage, and inspection and repaint certificates are necessary.

The lessee is required to follow the aircraft's maintenance schedule as outlined in the table, which includes line maintenance every 500 flight hours, heavy maintenance every 2 years, engine overhaul every 5,000 cycles, avionics check annually, and landing gear overhaul every 7 years. The maintenance schedule includes the frequency, estimated cost, provider, and next scheduled date for each type of maintenance.",Yes," This table outlines the conditions, required documentation, and notes for the maintenance of different components of an aircraft. The components include the airframe, engines, avionics, and interior and exterior.

For the airframe, the condition required is no major damage and routine wear. The required documentation includes the last 3 years of maintenance logs, and the maintenance logs must be up to date.

For engines, the condition required is mid-life status with no major defects. The required documentation includes engine overhaul records, and engines must meet performance criteria.

For avionics, the condition required is fully functional. The required documentation includes the latest software updates and calibration records, and avionics should be up-to-date and calibrated.

For the interior, normal wear and tear is acceptable. The required documentation includes cabin refurbishment records, and the lessee is responsible for major damage.

For the exterior, the condition required is repainted with no structural damage. The required documentation includes inspection and repaint certificates, and the paint must be in good condition.

The lessee is required to follow the aircraft's maintenance schedule as stipulated by the manufacturer. The schedule includes line maintenance every 500 flight hours, heavy maintenance every 2 years, engine overhaul every 5,000 cycles, avionics check annually, and landing gear overhaul every 7 years. The cost and provider for each maintenance type are also specified in the table.",Tabular
contract sample-1.pdf,List all type of insurance availble for the aircraft?,"1. Hull All-Risk Insurance, 2. Third-Party Liability Insurance, 3.Passenger Liability Insurance, 4.War Risk Insurance, 5.Crew Liability Insurance, 6.Cargo and Baggage Liability Insurance, 7.Ground Risk Insurance",19,Yes," The following types of insurance are available for the aircraft under the lease agreement:

1. Hull All-Risk Insurance: Covers physical loss or damage to the aircraft from any cause, including accidents, fire, theft, vandalism, and natural disasters.
2. Hull War Risk Insurance: Covers damage or loss resulting from acts of war, terrorism, hijacking, or other hostile acts, as well as confiscation or seizure by government authorities.
3. Third-Party Liability Insurance: Provides coverage for bodily injury, death, and property damage to third parties, with minimum limits of liability of $500 million per occurrence.
4. Passenger Liability Insurance: Covers the legal liability of the Lessee for bodily injury or death of passengers, with a minimum coverage of $100,000 per passenger.
5. Ground Risk Insurance: Covers the aircraft when it is not in motion, including protection against theft, fire, and natural disasters.
6. War Risk Insurance: Covers losses arising from war, terrorism, hijacking, sabotage, unlawful seizure of the Aircraft, and other war-related perils, with minimum coverage of $100 million or as specified by the Lessor.
7. Crew Liability Insurance: Covers any liability arising from claims made by or on behalf of crew members of the Aircraft in relation to bodily injury, death, or other personal harm, with a minimum coverage of $50 million per occurrence.
8. Cargo and Baggage Liability Insurance: Covers any loss, damage, or destruction of cargo transported on the Aircraft, with coverage limits consistent with the value of the cargo carried and compliance with applicable cargo liability laws.",Yes," The types of insurance available for an aircraft under an aircraft lease agreement, as per the provided text, include:

1. Hull All-Risk Insurance: Covers physical loss or damage to the aircraft from any cause, including accidents, fire, theft, vandalism, and natural disasters.
2. Hull War Risk Insurance: Covers damage or loss resulting from acts of war, terrorism, hijacking, or other hostile acts, as well as confiscation or seizure by government authorities.
3. Third-Party Liability Insurance: Provides coverage for bodily injury, death, and property damage to third parties, with minimum limits of liability of $500 million per occurrence.
4. Passenger Liability Insurance: Covers the legal liability of the lessee for bodily injury or death of passengers, with a minimum coverage of $100,000 per passenger.
5. War Risk Insurance: Covers losses arising from war, terrorism, hijacking, sabotage, unlawful seizure of the aircraft, and other war-related perils, with minimum coverage of $100 million or as specified by the lessor.
6. Crew Liability Insurance: Covers any liability arising from claims made by or on behalf of crew members of the aircraft in relation to bodily injury, death, or other personal harm, with a minimum coverage of $50 million per occurrence.
7. Cargo and Baggage Liability Insurance: Covers any loss, damage, or destruction of cargo transported on the aircraft and personal baggage of passengers, with coverage limits consistent with the value of the cargo carried and applicable laws governing cargo liability.
8. Ground Risk Insurance: Covers the aircraft when it is not in motion, including protection against theft, fire, and natural disasters, with coverage for full replacement value or repair costs if the aircraft is damaged while grounded.

All insurance policies must name the lessor as an additional insured and loss payee, and the lessor's rights and interests must not be invalidated or diminished by any acts, omissions, or negligence on the part of the lessee or its agents.",Descriptive
contract sample-1.pdf,What is the lease term for the aircraft?,"The lease term is 60 months (5 years), commencing on August 1, 2024.",3,Yes," The lease term for the aircraft is 60 months, beginning on July 19, 2024, and ending on July 19, 2029. The Lessee has the option to extend the lease term by 12 months.",Yes," The lease term for the aircraft is 60 months, beginning on July 19, 2024, and ending on July 19, 2029. The Lessee has the option to extend the lease term for an additional 12 months.",Specific/Factual
contract sample-1.pdf,What type of aircraft is leased under this agreement?,"The aircraft is a Boeing Voyager -737, with a manufacturer's serial number of 1013398 and a registration number of N67890.",1,Yes," The type of aircraft leased under this agreement is a Boeing Voyager -737, specifically with the Manufacturer's Serial Number 56789 and equipped with two Pratt & Whitney PW4000 engines.",Yes," The type of aircraft leased under this agreement is a Boeing Voyager -737, specifically with the Manufacturer's Serial Number 56789 and equipped with two Pratt & Whitney PW4000 engines.",Specific/Factual
contract sample-1.pdf,What are the lessee’s obligations regarding the aircraft’s insurance coverage?,"The lessee must obtain and maintain comprehensive aviation insurance during the entire lease term, including hull all-risk, hull war risk, third-party liability, and passenger liability insurance. ",17,Yes," The lessee is required to maintain several types of insurance for the aircraft throughout the lease term. These include Hull All-Risk Insurance, Third-Party Liability Insurance, Passenger Liability Insurance, and War Risk Insurance. The lessee is responsible for procuring insurance policies from reputable companies with an A.M. Best rating of at least A- or equivalent. The insurance policies must cover the full replacement value of the aircraft, provide coverage for third-party liabilities, passengers, and war-related perils, and name the lessor as an additional insured and loss payee. The lessee must also provide the lessor with certificates of insurance and immediately notify the lessor in the event of a claim.",Yes," The lessee is required to maintain several types of insurance for the aircraft throughout the lease term. These include Hull All-Risk Insurance, Third-Party Liability Insurance, Passenger Liability Insurance, and War Risk Insurance. The lessee is responsible for procuring these policies from reputable insurance carriers with an A.M. Best rating of at least A- or equivalent.

The Hull All-Risk Insurance must provide coverage for physical loss or damage to the aircraft arising from all risks of flight and ground operation. The policy must include provisions for partial damage and total loss of the aircraft, with any claims proceeds payable to the lessor as the loss payee.

The Third-Party Liability Insurance must cover legal liabilities arising from bodily injury, death, or property damage caused to third parties in connection with the operation or use of the aircraft. The coverage must include ground handling operations, passenger-related claims, and damage caused to airport property or other aircraft.

The Passenger Liability Insurance must provide coverage for bodily injury or death to passengers aboard the aircraft, with a minimum coverage of $100,000 per passenger or as required by applicable law or regulations.

The War Risk Insurance must cover losses arising from war, terrorism, hijacking, sabotage, unlawful seizure of the aircraft, and other war-related perils.

The lessee is also responsible for maintaining operational insurance, including Hull All-Risk Insurance, Hull War Risk Insurance, Third-Party Liability Insurance, and Passenger Liability Insurance, at their own cost during the entire lease term.

The lessee must name the lessor as an additional insured and loss payee on all insurance policies and provide certificates of insurance to the lessor on or before the commencement of the lease term and upon each renewal or replacement of the policies. In the event of a claim, the lessee must immediately notify the lessor and cooperate fully in handling the claim.

The lessee is responsible for maintaining full operational control of the aircraft and agreeing that it will only be operated for lawful purposes and in accordance with the manufacturer's operating manual, approved operating limits and flight performance standards, and the specific purposes outlined in the lease.

Repairs must be carried out by a certified and approved maintenance organization in accordance with the manufacturer's guidelines and all applicable regulatory requirements. The lessee is responsible for continuing to pay rent, additional rent, and all other fees due under the agreement during the repair period.

The lessee must maintain records including flight logs, maintenance logs, and component records and bear all costs associated with maintaining, repairing, and operating the aircraft.",Descriptive
contract sample-1.pdf, What are the consequences if the lessee fails to make a rent payment?,"The lessee will have a 10-day grace period to cure the default. After that, a late payment penalty of 2% per day will be imposed, and the lessor may declare an event of default and exercise remedies, including terminating the lease and repossessing the aircraft. ",25,Yes," If the lessee fails to make a rent payment, the lessor may declare an event of default and exercise their remedies under Section 18. This includes the lessee paying a late payment penalty of 2% of the overdue amount for each day the payment remains unpaid beyond the due date. If the lessee fails to cure the default within the 10-day cure period, the lessor may terminate the agreement and repossess the aircraft. Additionally, the lessee may be required to pay any losses, damages, or liabilities incurred by the lessor as a result of the default. There are also certain events, such as insolvency or bankruptcy, where no cure period applies and the lessor can immediately terminate the agreement.",Yes," The Lessee's failure to make a rent payment within the specified 10-day cure period results in a default under the lease agreement. The Lessor may declare this event and exercise its remedies, including charging late payment penalties and seeking damages. If the Lessee fails to cure the default, the Lessor may terminate the agreement and repossess the aircraft. Other events of default include insolvency, bankruptcy, or liquidation, among others. The Lessee has a 30-day cure period for most breaches, but none for insolvency-related events. The Lessee cannot assign or sublease the aircraft without the Lessor's consent. This agreement is governed by New York law and disputes will be resolved through arbitration. The Lessee is responsible for providing renewal certificates and notifying the Lessor of any insurance claims. If the Lessee fails to maintain required insurance coverage, the Lessor may procure it on behalf of the Lessee or declare a default. The Lessee is also required to indemnify the Lessor for any losses incurred due to the Lessee's failure to maintain insurance.",Descriptive
contract sample-1.pdf,What maintenance obligations does the lessee have during the lease term?,"The lessee must perform all scheduled and unscheduled maintenance, including inspections and overhauls, according to the aircraft’s maintenance schedule and aviation authority requirements.",12,Yes," The lessee is responsible for obtaining and maintaining all necessary licenses, permits, and certifications for the operation of the aircraft, ensuring the aircraft is operated by licensed pilots and crew members, and complying with any regulatory changes. They must maintain the aircraft in an airworthy condition and perform all routine and scheduled maintenance, repairs, and inspections as specified in the aircraft's maintenance schedule and manufacturer's manual. The lessee is also responsible for providing regular operational reports to the lessor and paying all taxes, duties, fees, and other charges related to the aircraft's operation. In case of accidents, incidents, or mechanical failures, the lessee must promptly notify the lessor and submit a written report detailing the nature and cause of the event and the steps taken to rectify the situation. The lessee must maintain adequate insurance coverage for the aircraft and return it to the lessor in the condition outlined in the lease agreement upon expiration or early termination. The lessor has the right to audit the lessee's maintenance operations and records to ensure compliance with the lease agreement. Any deferred maintenance must be approved by the lessor, and the lessee may be required to pay additional fees for increased risk or costs. The lessee is responsible for ensuring that all repairs are carried out by certified and approved maintenance organizations and that the aircraft is operated in accordance with any Airworthiness Directives, Service Bulletins, and Mandatory Modifications issued by the manufacturer or aviation authorities. The lessee must maintain accurate and up-to-date maintenance records, logs, and technical documents for the aircraft and make them available to the lessor for inspection upon request.",Yes," The lessee is responsible for providing regular operational reports, promptly notifying the lessor of accidents, incidents, or mechanical failures, paying all taxes, duties, fees, and other charges, returning the aircraft in the agreed condition, allowing maintenance audits, obtaining and maintaining required licenses and certifications, and maintaining the aircraft in an airworthy condition with all routine and scheduled maintenance, repairs, and inspections. The lessee must also ensure that all repairs are carried out by certified and approved maintenance organizations and in accordance with the manufacturer's guidelines and regulatory requirements. The lessee is required to maintain accurate and up-to-date maintenance records and make them available to the lessor upon request. The lessee must maintain Hull All-Risk Insurance with coverage equal to or exceeding the full replacement value of the aircraft, protecting against physical loss or damage from all risks of flight and ground operation.",Descriptive
